"sdk_strong_id","first_time_seen","first_time_ftd","first_time_attributed","first_time_attributed_ftd","days_visit_before_being_attributed","total_attributed_ftd","total_attributed_ftd_value","total_attributed_purchase","total_attributed_purchase_value","daily_imps","banners","daily_clicks","metawin_user_id","metawin_user_id_first_time","metawin_user_id_first_ftd","all_wallets","primary_country","balance_group","wallet_providers"
"2fd10e2bb39974f65a1aa18051c127175d2dcab2e7fc77089e4a4fb9","2025-09-23 00:00:00.000000 UTC","2025-11-29 00:00:00.000000 UTC","2025-11-05 00:00:00.000000 UTC","2025-11-29 00:00:00.000000 UTC","27","10","2971.0","20","300.118847","{2025-11-05 00:00:00.000 accuweather.com=1}","[728x90.png]",,"ccbebfe2-b52d-46a2-81a4-668912c04148","2025-11-26 00:00:00.000000 UTC","2025-11-29 00:00:00.000000 UTC",,"Japan","No Balance","[Metamask]"
"2a39e252d1887ee04ec58bf1b8ba89f2f6fe56a559646c8b5703cb0b","2025-09-24 00:00:00.000000 UTC","2025-12-11 00:00:00.000000 UTC","2025-10-21 00:00:00.000000 UTC","2025-12-11 00:00:00.000000 UTC","17","6","20945.0","4","5002.0","{2025-10-21 00:00:00.000 modrinth.com=50, 2025-10-21 00:00:00.000 myinstants.com=7, 2025-10-22 00:00:00.000 modrinth.com=10, 2025-12-11 00:00:00.000 imgflip.com=4, 2025-10-21 00:00:00.000 inchcalculator.com=7, 2025-11-13 00:00:00.000 dailymotion.com=16}","[Static - 300x250, Static - 728x90, 320x250.png, 160px to 600px, 320px to 50px, 300px to 600px, Static - 160x600, Static - 320x250, 728px to 90px, 728x90.jpg, Static - 320x100, 320px to 100px, 300px to 250px]",,"209425f0-94c6-4d4b-88aa-feaf3af366d6","2025-11-25 00:00:00.000000 UTC","2025-12-11 00:00:00.000000 UTC","[0x0f4112eddd4f29e63f1c610be4739693ab8daf91]","United States","<$1k","[Metamask]"
"49460946fa72daafa773e29707235ef5e78650d25b8dce1d1d4316e8","2025-10-28 00:00:00.000000 UTC","2025-11-12 00:00:00.000000 UTC","2025-11-12 00:00:00.000000 UTC","2025-11-12 00:00:00.000000 UTC","1","2",,"0",,"{2025-11-05 00:00:00.000 coinmarketcap.com=1}","[300x250.png]",,,,,"[0x7e7cb34e0d1e4532ba3afdf802902a1625fa8145, 0xeaee5078a0b45ffe0c3d64c19fc6f2c9646981f0, 0xc8444b04a1bde4cd5298f61ec30b9388ad6bde29, 0x125e99cade1988413c63be630109fb52b13f2eb8, 0xd5fa94192f0a0dd911d2fd8a84f4ec5c943322ff, 0x923fff833289b0e02af04d82cedcf30e32b5c41d]","India","$1K - $10K","[OKX, Metamask]"
"8951d375cb5f57ae9776f278fedae899e9c7acb07b8df92610fd6f4a","2025-09-26 00:00:00.000000 UTC","2025-11-28 00:00:00.000000 UTC","2025-10-24 00:00:00.000000 UTC","2025-11-28 00:00:00.000000 UTC","17","6","793.5580090000001","3",,"{2025-10-24 00:00:00.000 distanta.ro=10, 2025-10-24 00:00:00.000 papergames.io=4, 2025-10-24 00:00:00.000 mail.yahoo.com=4, 2025-10-25 00:00:00.000 coinmarketcap.com=1, 2025-11-05 00:00:00.000 photopea.com=1}","[Static - 300x600, Static - 320x480, Static - 300x250, Static - 320x100, 300x250.png]",,"b76ee32c-59a9-4f38-8be2-39b36649d636","2025-11-28 00:00:00.000000 UTC","2025-11-28 00:00:00.000000 UTC","[0xf51e122b0b1e334baee90ed796c89dbefcd0ba42]","Romania","<$1k","[Metamask]"
"2a03ac2b2498c0bf25d617a9970fa98789d1bbdc606ec9d313dbbdd3","2025-10-12 00:00:00.000000 UTC","2025-12-05 00:00:00.000000 UTC","2025-11-08 00:00:00.000000 UTC","2025-12-05 00:00:00.000000 UTC","2","1","0.597366318","1",,"{2025-11-05 00:00:00.000 dailymotion.com=1}","[300x250.png]",,"c7cdb78d-d653-4c31-a42a-8db9c5902f3e","2025-12-05 00:00:00.000000 UTC","2025-12-05 00:00:00.000000 UTC","[0x22f5ba98dcee0348b22bcc2e2cf8d0ea11cbe5e2]","Philippines","<$1k","[Metamask]"
"08fe381499e09c1800e644c83fcbd7b6dd598f009f9e00949d72d210","2025-10-07 00:00:00.000000 UTC","2025-11-18 00:00:00.000000 UTC","2025-11-18 00:00:00.000000 UTC","2025-11-18 00:00:00.000000 UTC","1","2",,"2",,"{2025-10-26 00:00:00.000 flashback.org=2}","[Static - 320x480, Static - 300x250]",,"1456c524-9fb0-49ec-84a9-29ed077f13de","2025-11-26 00:00:00.000000 UTC","2025-12-01 00:00:00.000000 UTC",,"Sweden","No Balance","[]"
"bc1422fc3db193c6dabf16b197d4a0ac46726d1fc60c33a83308f4b8","2025-09-27 00:00:00.000000 UTC","2025-11-28 00:00:00.000000 UTC","2025-11-05 00:00:00.000000 UTC","2025-11-28 00:00:00.000000 UTC","14","4","0.07471348197669689","30","0.023463079898186107","{2025-11-05 00:00:00.000 belfastlive.co.uk=1}","[300x250.png]",,"df7cab8f-3a47-489e-b57a-7b2d4f728c0e","2025-11-25 00:00:00.000000 UTC","2025-11-28 00:00:00.000000 UTC",,"Australia","No Balance","[Metamask]"
"6cd6881aec361bd951b30c3a32f523fa7968254314389145cf604756","2025-12-11 00:00:00.000000 UTC","2025-12-11 00:00:00.000000 UTC","2025-12-11 00:00:00.000000 UTC","2025-12-11 00:00:00.000000 UTC","0","3","0.025758768601061646","0",,"{2025-12-11 00:00:00.000 gulesider.no=2}","[320x100.jpg]",,"48594f6a-1151-447c-8183-814e97cdb65c","2025-12-11 00:00:00.000000 UTC","2025-12-11 00:00:00.000000 UTC",,"Norway","No Balance","[OKX]"
"b0f76a45101ea2c673e9abdb0adfc2c89e47639ca04dccecddc9ec6c","2025-09-26 00:00:00.000000 UTC","2025-12-05 00:00:00.000000 UTC","2025-12-05 00:00:00.000000 UTC","2025-12-05 00:00:00.000000 UTC","9","1","0.05499999999999999","0",,"{2025-11-12 00:00:00.000 coinmarketcap.com=1, 2025-11-11 00:00:00.000 modrinth.com=22, 2025-11-14 00:00:00.000 macwelt.de=4}","[320x250.png, 320x100.png, 728x90.png, 300x250.png]",,"37d91e57-15dc-4d95-a5a4-8641a131178c","2025-12-05 00:00:00.000000 UTC","2025-12-05 00:00:00.000000 UTC",,"Germany","No Balance","[Metamask]"
"06d2e835d7b90e8d906785e5df92a581177f0ae3c109952aa5f15f2b","2025-09-24 00:00:00.000000 UTC","2025-12-12 00:00:00.000000 UTC","2025-12-12 00:00:00.000000 UTC","2025-12-12 00:00:00.000000 UTC","42","2","0.02272","0",,"{2025-12-12 00:00:00.000 olx.pl=2}","[300x250.png, 300x250 - HTML5]",,"f124b1c5-2b6b-4240-bd6d-23fc5c00c15c","2025-11-25 00:00:00.000000 UTC","2025-12-12 00:00:00.000000 UTC",,"Poland","No Balance","[Metamask]"
